review_text,rating,date
won't stop sending notifications no matter how many times i change settings. so many notifications,1,2026-03-16 02:30:18
it tells me to put in my driver's license every time I come in. which I do and it doesn't let me in. I just recently got a new phone number so this is a problem.,1,2026-03-16 02:27:33
"Drivers consistently cancel rides before pick up and the app gets stuck in a loop trying to find a new one. Only work around is to cancel the request and make a new, forcing you to wait all over.",1,2026-03-16 02:13:17
"several issues with the app for both drivers and users. I'll pick the fastest option and I'll be waiting for 20 minutes. I also chose the option for lyft to where it chooses rides with women and nonbinary folk, and I'll still be mostly riding with men. Lastly, and this affects both users and drivers, the GPS with lyft is just insane. From outrageous routes to trying to make you turn places you can't even turn. it's dangerous.",2,2026-03-16 00:46:17
according can't get to. my scheduled ride to change the. pickup date!,3,2026-03-16 00:41:01
friendly drivers short wait time most of the time reasonable prices,5,2026-03-16 00:27:48
Hard to edit Hard to enter route and stops. by,3,2026-03-16 00:18:55
good and will get u 2 ur destination.,5,2026-03-15 23:52:05
I hate when they do the 15% off flash discount because a ride that usually cost me $7-$11 now cost $17-25 a quick 10 minute ride to work cost double to triple the amount for a so called discount.... how do I opt out of the discount and keep my fares reasonable smgdh always a scam or highway robbery every where you turn when you just trying to get to work....shameful but every blue moon you get a little here you go over reasonable fare for the 10 minute ride,3,2026-03-15 23:36:46
My car broke down near the town of Andrews Texas and I had to get to a job so I went on the app and scheduled a pickup. The tow truck picked my car up and I waited and waited for my Lyft driver that never showed up. I waited for over an hour past the scheduled pick up time for a ghost. In turn I lost that client and I have Lyft to blame. NEVER AGAIN!,1,2026-03-15 22:22:23
don't like a 3 party charge as well as a 3 party tip an the license plate I can not report cause it does not show so I report the lift driver that I get the lift an I'm denied my refund up to 30 cash upload,1,2026-03-15 21:36:24
Drivers on this app are genuinely terrible and the prices are absurd.,1,2026-03-15 21:27:25
LYFT is so expensive worst app ever I'm going back to Uber unless they update fast I had to walk to work it was so embarrassing,1,2026-03-15 19:21:55
"Lyft has been a life saver for me! it's cheap! and every single person I've gotten a ride from has been amazing! I hate that sometimes I don't have any money left for a tip, but I do give them five stars because they've been so great! Definitely worth it!",5,2026-03-15 19:16:17
all drivers have caring and n respectively good ĺ,5,2026-03-15 19:01:53
"afterbwaiting 20 min for a ride, a driver 10 min away cancelled on me. im just gonna use waymp",1,2026-03-15 18:48:09
"Outrageous prices. My driver was super untrustworthy. Uber is less expensive and cheaper. Lyft is going down hill quickly. The entire vibe is we are better You. I'm sure its different for middle-upper class. If you love the feeling of being dehumanized, all the power to you. At least Uber treats customers like humans. oh, we are",1,2026-03-15 18:38:10
its awful with trying to get drivers. it takes up to 40min sometimes 😕 had to re-download Uber 😒,1,2026-03-15 18:12:53
"Absolute trash of an app. You will NEVER get to your destination on time, especially if youre desperate. They will just leave you hanging for an hour, never update you, and lie constantly about the time and price. Not enough drivers paid very little, and it shows. NEVER DOWNLOAD. Other rideshare apps at least pretend to care about your time and money, lyft clearly thinks they dont have to.",1,2026-03-15 16:27:34
Love it because they are there when you need them no matter what.,5,2026-03-15 14:45:16
Lyft does a lot of lying. There's no such thing as Lyft Silver in the app. Or even in the USA. Lyft lies also about using your debit card even after you send them proof from the bank. Lyft AI is as bad as Lyft app. Lyft on 02/21/2026. From dept store to home is $16.97 at 4:40 pm. Uber same distance is $9.96. Better and cheaper to use Uber. Lyft goes back to there old way of pricing. Then I will use them again. But for the same pick up and drop off pricing. Uber is cheaper.,1,2026-03-15 14:38:39
scheduled ride was not provided. I would like so eone from lyft to follow.up with and ex plain why!!!,1,2026-03-15 14:24:50
on fri 13 i had few dollars on card 11 i used lyft they took my money and did not send a car its cool ill catch the bus 2.00 verse 11.and drop off about the same.im tired of this lyft i fell off the lyft . they denied everything but its all good you ppl are awful all on the east coast scheming scamming.like airtalk they're over here broke.,1,2026-03-15 13:37:37
need a r8de,5,2026-03-15 13:17:05
this program is garbage! never use again. Never! Never! Never!,1,2026-03-15 12:16:52
rates been sky rocket,4,2026-03-15 11:49:16
Chris was awesome very person able,5,2026-03-15 11:12:56
gets me where I need to go.... safely,5,2026-03-15 10:19:21
your driver's take jobs then leave the rider waiting. horrible service.,1,2026-03-15 10:04:30
loved it 😜,5,2026-03-15 10:02:11
"Such a scam. Same (short) ride, at the same time was quoted $9 for my friend and $15 for me. So messed up it analyzes your personal data to charge you more. Being charged 150% of what someone else is charged is INSANE.",1,2026-03-15 04:22:59
"Lyft always advertises lower rates, but you always have to wait twice as long as it says. my last ride I waited three times as long and the driver cancelled. horrible experience.",1,2026-03-15 03:52:12
Fine now go back to lyft,5,2026-03-15 02:32:24
Good prices good service,5,2026-03-15 02:28:30
"They claim to value women's safety, but offer no support when you're in an unsafe situation. I had a Lyft car arrive with the wrong license plate, and the driver called me through the app insisting I should enter anyway. I was by myself in a dark alley and felt unsafe, so I cancelled the ride so the rider would leave. Now, Lyft refuses to offer me a refund. I've never been treated with such disrespect from Uber, so I'm uninstalling Lyft and returning to Uber.",1,2026-03-15 01:29:13
Lyft!! You're charging way too much! Your price for my trip: $55. Uber's price: $22. Because I'm only traveling 7 miles. And you don't offer ANY benefits to justify such ridiculous prices. This is why I rarely ever use Lyft.,1,2026-03-15 00:22:54
please lower prices thank you,4,2026-03-14 23:59:28
Cannot see scheduled ride despite uninstalling & reinstalling the app. Also cannot schedule a return ride.,3,2026-03-14 23:48:41
"This app is horrible. It tells you to wait 5 minutes, but it actually takes 15. Then, if you cancel the ride because of their delay, they still charge you a fee. Don't use this, especially if you are in a hurry or have an emergency.",1,2026-03-14 21:37:05
Includes misleading advertising. doesn't allow to define the tip I want to give. Collects a tip I don't want to pay!,1,2026-03-14 18:34:30
Old reliable,5,2026-03-14 12:59:11
"I'm trying to catch a ride, not drive for Lyft..this sucks ... cut the advertising send a car",1,2026-03-14 10:34:04
Canceled my account for some reason while i was trying to order a ride. Uber is more reliable.,1,2026-03-14 10:29:28
"Driver did not tell me where he was. Then when I eventually found him, he refused to take me. I am a woman alome late at night. And I can't write feedback in the app to describe my experience. Nor to rate the driver for a ride he refused to pick up but yet a fee was taken.",2,2026-03-14 10:28:31
"this ride share app is trash when compared to uber. pm to pm: do better, you should be fired",1,2026-03-14 09:54:29
I love this app,5,2026-03-14 09:49:05
garbage app!!!! Don't waste your time with Lyft. Uber is the way to go,1,2026-03-14 09:24:36
All it does is charge you more than Uber. Do you have rewards? Good luck. Awful on all fronts.,1,2026-03-14 09:05:46
Convenient service. Arrival and trip times are outright lies. Edited to add: App is intentionally designed to make it impossible to get help or to report poor service. Edit: more of the same. Garbage app. Been waiting for 20 when it said 8. Choose any competitor.,1,2026-03-14 08:28:55
I only use Uber,1,2026-03-14 07:17:18
it's not letting me create an account. help!!,1,2026-03-14 07:06:03
worst ride app I've had in 10 years. how to do 12 drivers cancel in 20 mins. Now I'm late to work because the drivers aren't dependable in this area.,1,2026-03-14 06:43:44
APPRECIATE THE RIDES ESPECIALLY WITH MY PHYSICAL CONDITIONS AND DIMISHING HEALTH . THANK YOU LYFT,5,2026-03-14 05:45:14
you like to send you drivers to the wrong place and then charge a cancellation fee. thanks I love being late for work and then getting charged for it.,1,2026-03-14 05:43:22
it was a great app experience until they planted giant ads on every page,2,2026-03-14 05:01:19
Customer service just talks in circles. The tactic seems to be exhausting the customer expecting them to give up on complaints. Closed account instead of continuing to go in circles with customer service representatives that seem to be trained to pretend to be clueless.,1,2026-03-14 04:32:29
"Drivers cancel too often, wait times quoted are always way too low. Customer service is virtually nonexistent",1,2026-03-14 03:17:22
"Apathetic to owners of old phones who don't upgrade because of cost (and liking their phones), now absolutely tone deaf management during time of extremely high memory prices. Are you trying to turn me into an Uber customer? They don't seem to have these problems.",1,2026-03-14 03:12:16
waited 20 minutes and driver cancelled last second. never had this with Uber. bye lyft!,2,2026-03-14 03:06:20
my last ride with Julio Cesar was wonderful. he went out of his way to make us feel safe. please thank him for us again!! 🙏,5,2026-03-14 02:09:48
much more expensive than Uber,3,2026-03-14 01:50:15
you charge me for a lift it didn't come this morning were.my money,2,2026-03-14 01:31:29
stop removing the ability to choose a custom tip amount. this App would be just fine if some idiot didnt change the payment process every six months,1,2026-03-14 01:28:36
"off and on problems... besides that, okay.",4,2026-03-14 01:14:37
app has gone down. it takes way longer than expected. and it's not sometimes. I've had this on my past four rides to where I canceled. And I just had it happen again. I selected to where it would be 10 minutes and on top of it taking 18 minutes for my ride to get here it took like 5 or 6 minutes just to find a ride. to mention they've raised their prices. a 1 mile ride costs me 15$ other apps are half that,3,2026-03-13 23:54:10
"Got the non-wait ride and it gave me someone 12 minutes away then it gave me someone closer but then when they arrived to drop someone else off, I checked my phone and it said the ride was cancelled. I literally saw the car drive by me in the parking lot. then after that they gave me a ride that'll take 9 minute to arrive. I could walk to the location in 10 minute so I decided to walk in the snow with groceries and a broken zipper. the pain of that walk was better than the pain of Lyft",1,2026-03-13 23:45:16
overpriced like hell Jesus my job is like 2.5 miles away uber price 10 to 15 dollars Lyft 30 to 40 make it make sense done with this trash.,1,2026-03-13 23:33:44
drains my battery like crazy. About 1% per minute while using the app. it's made it unusable.,2,2026-03-13 23:22:32
"Dropping a one star review in hopes of actually getting my review noticed. I want to be able to request only drivers that speak a specific language. If I want to drive in silence because the driver can't communicate I don't need Lyft, I can take Waymo. I want to be able to have human interaction. I travel a lot and use your app a lot. I often get my best advice for food, places to see, and safe neighborhoods from the drivers. I don't want to waste time asking after already requesting the car.",1,2026-03-13 23:02:11
Lyft already charges so much for their service. Now they're forcing you to watch ads before you can see where your driver is so they can get more. 👎🏻👎🏻👎🏻,1,2026-03-13 22:05:52
"changed cards and it went up $6. ""Prices May Vary"". So, how ""random"" will these prices be if i read the fine print the things i say yes to?",3,2026-03-13 22:02:04
