review_text,rating,date
so so nice man...👍,5,2026-03-16 03:24:01
Nice calm driving,5,2026-03-16 03:23:43
the support is terrible and I effectively cannot use the app or the money I have on there because it won't let me pay a pending balance with any payment method.,1,2026-03-16 03:22:44
Best app for everyone,5,2026-03-16 03:22:08
great service,5,2026-03-16 03:15:31
"The UX is abysmal, and customer service practically non-existent. My food order is an hour late because Uber obviously can't find a driver, and then they still want to charge me for it when I cancel? AI customer support is useless, and human customer support is not only that, but also rude.",1,2026-03-16 03:15:04
"very good driver, he dropped the exact location and was also a good way of talking.",5,2026-03-16 03:08:49
nice,5,2026-03-16 03:06:06
I couldn't find anywhere how to cancel the subscription and so they charged me again!,1,2026-03-16 03:04:31
very helpful specially rider mohammed ... excellent service,5,2026-03-16 03:03:06
good,5,2026-03-16 03:01:49
good,3,2026-03-16 02:59:52
lovely,5,2026-03-16 02:58:07
good 👍,5,2026-03-16 02:49:05
best service,5,2026-03-16 02:48:06
Good,5,2026-03-16 02:47:22
good,5,2026-03-16 02:45:26
excellent,5,2026-03-16 02:44:50
"Overall we had a good experience. With that said, in Port Miami we did have a driver who cancelled on us because he couldn't speak English. back at Toronto, Pearson, we had a guy say he was Uber but he wasn't. An attendant came to our aid and pointed out that guy wasn't licensed and was trying to scam us. He wisely pointed us to the Uber pick up zone on the lower level at door Q. Make sure you match up license plate numbers.",5,2026-03-16 02:38:42
your app is failure in adding payment method not working in upi selected id please solve the issue,1,2026-03-16 02:33:06
the driver was great horrible time meeting up with him at Auckland Airport. signage was bad,3,2026-03-16 02:27:06
first time useing user great service 👍,5,2026-03-16 02:27:05
Great as usual,4,2026-03-16 02:23:22
"This company supports felon and pedophile Donald Trump. Seems like that would be bad for their brand. I guess their c-suite is to dumb, greedy, or bigoted to be bothered by that.",1,2026-03-16 02:14:33
why does Uber make it impossible to cancel a delivery when it starts as 15min to 2hr,5,2026-03-16 02:08:16
Great service,5,2026-03-16 01:57:21
Great 👍,5,2026-03-16 01:57:06
yurt,5,2026-03-16 01:55:49
"Uber app is great most times but theres times where its really hard to use at time so when im using Uber eats it doesnt let me make a selection for one restaurant but it let's me for other restaurants, and when im using Uber for rides it delays the rides badly to the point where the drivers have to apologize.",2,2026-03-16 01:49:54
lovely driver. polite,5,2026-03-16 01:46:09
best app,5,2026-03-16 01:39:34
This is the best app since started using it everything is easy for me I can go anywhere with reasonable prices I just love it try it you will see 😍,5,2026-03-16 01:38:11
pleasant chap,5,2026-03-16 01:36:46
nice,2,2026-03-16 01:32:13
i have no words its the best,5,2026-03-16 01:23:56
"In ultima vreme dureaza enorm sa gaseasca cursa si gaseste din partea cealalta de oras... enorm de mult timp pana gaseste, enorm de mult timp pana ajunge...",1,2026-03-16 01:20:41
good behavior,5,2026-03-16 01:20:39
cannot sign in. this sucks.,1,2026-03-16 01:17:11
this is very good aap,5,2026-03-16 01:14:23
excellent,5,2026-03-16 01:13:57
Best,5,2026-03-16 01:11:07
vary good,5,2026-03-16 01:10:13
"first time using Uber, and thoroughly impressed. driver spoke minimal English, but being able to drop pins and confirm addresses made our trip flawless. Couldn't be happier. thank you",5,2026-03-16 01:09:52
